1,28,28,28,28,28,28,28,28,28,28,28,28,28,2
28,3,28,28,28,28,28,28,28,28,28,28,28,28,28
28,28,4,28,28,28,28,28,28,28,28,28,28,28,28
28,28,28,5,28,28,28,28,28,28,28,28,28,28,28
28,28,28,6,28,28,28,28,28,28,28,28,28,28,28
28,28,28,28,7,8,28,7,7,7,7,7,7,7,28
28,28,28,28,28,9,28,28,28,28,28,28,28,28,28
28,28,28,28,28,28,10,28,28,28,28,28,28,28,28
28,28,28,28,15,11,28,16,17,17,17,17,17,17,28
28,28,28,28,28,28,12,28,28,28,28,28,28,28,28
28,28,28,28,13,13,28,13,13,13,13,13,13,13,28
28,28,28,28,14,14,28,14,14,14,14,14,14,14,28
28,28,28,28,28,28,28,28,18,19,20,21,22,23,28
29,28,28,28,28,28,28,28,28,28,28,28,28,28,28
28,29,28,28,28,28,28,28,28,28,28,28,28,28,28
28,28,29,28,28,28,28,28,28,28,28,28,28,28,28
28,28,28,29,28,28,28,28,28,28,28,28,28,28,28
28,28,28,28,29,28,28,28,28,28,28,28,28,28,28
28,28,28,28,28,29,28,28,28,28,28,28,28,28,28
28,28,28,28,28,28,29,28,28,28,28,28,28,28,28
28,28,28,28,28,28,28,29,28,28,28,28,28,28,28
28,28,28,28,28,28,28,28,29,28,28,28,28,28,28
28,28,28,28,28,28,28,28,28,29,28,28,28,28,28
28,28,28,28,28,28,28,28,28,28,29,28,28,28,28
28,28,28,28,28,28,28,28,28,28,28,29,28,28,28
28,28,28,28,28,28,28,28,28,28,28,28,29,28,28
28,28,28,28,28,28,28,28,28,28,28,28,28,29,28
28,28,28,28,28,28,28,28,28,28,28,28,28,28,30
