1,28,28,28,28,28,28,28,28,28,28
28,2,28,28,28,28,28,28,28,28,28
28,28,3,3,28,3,3,3,3,3,28
28,4,5,10,28,5,5,5,5,5,4
28,28,6,7,28,7,7,7,7,7,28
28,8,8,9,8,8,8,8,8,8,8
28,28,28,28,11,28,28,28,28,28,28
28,28,14,12,28,15,16,16,16,16,28
28,28,28,28,13,28,28,28,28,28,28
28,28,28,28,28,28,17,18,19,20,28
29,28,28,28,28,28,28,28,28,28,28
28,29,28,28,28,28,28,28,28,28,28
28,28,29,28,28,28,28,28,28,28,28
28,28,28,29,28,28,28,28,28,28,28
28,28,28,28,29,28,28,28,28,28,28
28,28,28,28,28,29,28,28,28,28,28
28,28,28,28,28,28,29,28,28,28,28
28,28,28,28,28,28,28,29,28,28,28
28,28,28,28,28,28,28,28,29,28,28
28,28,28,28,28,28,28,28,28,29,28
28,28,28,28,28,28,28,28,28,28,30
