28,1,28,28,28,28,28,28,28,28,28,28,28
28,3,28,28,28,4,28,28,28,28,28,28,2
28,28,28,28,28,6,28,28,28,28,28,28,5,
28,7,28,28,28,28,28,28,28,28,28,28,28
28,8,28,28,28,28,28,28,28,28,28,28,28
9,28,28,28,28,28,28,28,28,28,28,28,28
28,28,10,10,10,10,28,10,10,10,10,10,28
28,28,12,12,12,13,12,12,12,12,12,12,11
28,28,14,14,14,14,28,14,14,14,15,14,28
28,28,28,28,28,28,16,28,28,28,28,28,28
28,28,22,23,21,17,28,23,23,23,19,20,28
28,28,28,28,28,28,18,28,28,28,28,28,28
28,28,28,27,28,28,28,25,24,26,28,28,28
29,28,28,28,28,28,28,28,28,28,28,28,28
28,29,28,28,28,28,28,28,28,28,28,28,28
28,28,29,28,28,28,28,28,28,28,28,28,28
28,28,28,29,28,28,28,28,28,28,28,28,28
28,28,28,28,29,28,28,28,28,28,28,28,28
28,28,28,28,28,29,28,28,28,28,28,28,28
28,28,28,28,28,28,29,28,28,28,28,28,28
28,28,28,28,28,28,28,29,28,28,28,28,28
28,28,28,28,28,28,28,28,29,28,28,28,28
28,28,28,28,28,28,28,28,28,29,28,28,28
28,28,28,28,28,28,28,28,28,28,29,28,28
28,28,28,28,28,28,28,28,28,28,28,29,28
28,28,28,28,28,28,28,28,28,28,28,28,30
